Entity,Code,Year,GDP per capita,900793-annotations
Sudan (former),,2021,2532.7058,
Sudan (former),,2022,2405.275,
Sweden,SWE,2018,45003.492,
Sweden,SWE,2019,45434.402,
Sweden,SWE,2020,44128.332,
Sweden,SWE,2021,46226.543,
Sweden,SWE,2022,47126.13,
Switzerland,CHE,2018,62185.477,
Switzerland,CHE,2019,62448.598,
Switzerland,CHE,2020,60521.26,
Switzerland,CHE,2021,62595.31,
Switzerland,CHE,2022,63323.254,
Syria,SYR,2018,3418.6953,
Syria,SYR,2019,3385.4192,
Syria,SYR,2020,2903.7397,
Syria,SYR,2021,2682.3398,
Syria,SYR,2022,2494.7612,
Taiwan,TWN,2018,45817.938,
Taiwan,TWN,2019,47200.254,
Taiwan,TWN,2020,48779.438,
Taiwan,TWN,2021,51943.883,
Taiwan,TWN,2022,53142.984,
Tajikistan,TJK,2018,4440.1567,
Tajikistan,TJK,2019,4695.543,
Tajikistan,TJK,2020,4828.3936,
Tajikistan,TJK,2021,5205.606,
Tajikistan,TJK,2022,5507.5454,
Tanzania,TZA,2018,2785.1824,
Tanzania,TZA,2019,2894.6472,
Tanzania,TZA,2020,2948.4724,
Tanzania,TZA,2021,3008.113,
Tanzania,TZA,2022,3057.3286,
Thailand,THA,2018,16610.05,
Thailand,THA,2019,16905.293,
Thailand,THA,2020,15815.915,
Thailand,THA,2021,16019.519,
Thailand,THA,2022,16421.072,
Togo,TGO,2018,1466.341,
Togo,TGO,2019,1501.8667,
Togo,TGO,2020,1482.7515,
Togo,TGO,2021,1534.8236,
Togo,TGO,2022,1586.5889,
Trinidad and Tobago,TTO,2018,27863.434,
Trinidad and Tobago,TTO,2019,27582.568,
Trinidad and Tobago,TTO,2020,25548.51,
Trinidad and Tobago,TTO,2021,25237.664,
Trinidad and Tobago,TTO,2022,25773.006,
Tunisia,TUN,2018,11376.29,
Tunisia,TUN,2019,11451.897,
Tunisia,TUN,2020,10354.239,
Tunisia,TUN,2021,10726.256,
Tunisia,TUN,2022,10913.846,
Turkey,TUR,2018,23650.49,
Turkey,TUR,2019,23497.504,
Turkey,TUR,2020,23721.88,
Turkey,TUR,2021,26175.93,
Turkey,TUR,2022,27361.988,
Turkmenistan,TKM,2018,18064.107,
Turkmenistan,TKM,2019,17264.172,
Turkmenistan,TKM,2020,16580.84,
Turkmenistan,TKM,2021,17169.06,
Turkmenistan,TKM,2022,17234.555,
USSR,OWID_USS,2018,18906.762,
USSR,OWID_USS,2019,19369.428,
USSR,OWID_USS,2020,18851.242,
USSR,OWID_USS,2021,19871.102,
USSR,OWID_USS,2022,19354.709,
Uganda,UGA,2018,2036.3313,
Uganda,UGA,2019,2128.9087,
Uganda,UGA,2020,2032.2618,
Uganda,UGA,2021,2083.8281,
Uganda,UGA,2022,2122.0278,
Ukraine,UKR,2018,9827.172,
Ukraine,UKR,2019,10139.761,
Ukraine,UKR,2020,9769.828,
Ukraine,UKR,2021,10133.885,
Ukraine,UKR,2022,7749.0996,
United Arab Emirates,ARE,2018,74206.484,
United Arab Emirates,ARE,2019,74396.14,
United Arab Emirates,ARE,2020,70188.27,
United Arab Emirates,ARE,2021,72460.04,
United Arab Emirates,ARE,2022,77203.67,
United Kingdom,GBR,2018,38704.6,
United Kingdom,GBR,2019,39113.01,
United Kingdom,GBR,2020,34651.184,
United Kingdom,GBR,2021,37134.33,
United Kingdom,GBR,2022,38406.53,
United States,USA,2018,55454.668,
United States,USA,2019,56469.26,
United States,USA,2020,54379.207,
United States,USA,2021,57522.703,
United States,USA,2022,58487.465,
Uruguay,URY,2018,19697.76,
Uruguay,URY,2019,19714.148,
Uruguay,URY,2020,18460.04,
Uruguay,URY,2021,19222.295,
Uruguay,URY,2022,20181.94,
Uzbekistan,UZB,2018,10682.418,
Uzbekistan,UZB,2019,11219.243,
Uzbekistan,UZB,2020,11341.919,
Uzbekistan,UZB,2021,12076.092,
Uzbekistan,UZB,2022,12559.401,
Venezuela,VEN,2018,9446.1875,
Venezuela,VEN,2019,7061.7617,
Venezuela,VEN,2020,4952.53,
Venezuela,VEN,2021,4896.802,
Venezuela,VEN,2022,5267.1753,
Vietnam,VNM,2018,6842.1387,
Vietnam,VNM,2019,7266.0483,
Vietnam,VNM,2020,7395.3613,
Vietnam,VNM,2021,7507.759,
Vietnam,VNM,2022,8050.359,
Western Europe (Maddison),,2018,40640.984,
Western Europe (Maddison),,2019,41090.758,
Western Europe (Maddison),,2020,38162.535,
Western Europe (Maddison),,2021,40164.14,
Western Europe (Maddison),,2022,41323.023,
Western offshoots (Maddison),,2018,53866.645,"United States, Canada, Australia and New Zealand"
Western offshoots (Maddison),,2019,54730.81,"United States, Canada, Australia and New Zealand"
Western offshoots (Maddison),,2020,52617.65,"United States, Canada, Australia and New Zealand"
Western offshoots (Maddison),,2021,55576.02,"United States, Canada, Australia and New Zealand"
Western offshoots (Maddison),,2022,56567.887,"United States, Canada, Australia and New Zealand"
World,OWID_WRL,2018,15814.849,
World,OWID_WRL,2019,16091.449,
World,OWID_WRL,2020,15461.187,
World,OWID_WRL,2021,16282.981,
World,OWID_WRL,2022,16676.75,
Yemen,YEM,2018,2281.545,
Yemen,YEM,2019,2265.343,
Yemen,YEM,2020,2031.4436,
Yemen,YEM,2021,1972.2102,
Yemen,YEM,2022,1959.3195,
Yugoslavia,OWID_YGS,2018,16824.555,
Yugoslavia,OWID_YGS,2019,17524.213,
Yugoslavia,OWID_YGS,2020,16757.94,
Yugoslavia,OWID_YGS,2021,18491.682,
Yugoslavia,OWID_YGS,2022,19352.385,
Zambia,ZMB,2018,3521.5051,
Zambia,ZMB,2019,3466.2363,
Zambia,ZMB,2020,3270.599,
Zambia,ZMB,2021,3321.5945,
Zambia,ZMB,2022,3342.4214,
Zimbabwe,ZWE,2018,1900.1992,
Zimbabwe,ZWE,2019,1753.0244,
Zimbabwe,ZWE,2020,1585.9728,
Zimbabwe,ZWE,2021,1687.2532,
Zimbabwe,ZWE,2022,1703.5294,
